40,112,185,17,314,560,56,"2,685",,,,,,,,
41,109,183,11,303,"1,698",18,"9,138",,,,,,,,
411,73,82,6,161,654,25,"3,149",,,,,,,,
42,199,256,61,516,"3,081",17,"14,467",,,,,,,,
421,241,263,26,530,"2,859",19,"14,464",,,,,,,,
43,161,163,21,345,"1,822",19,"8,499",,,,,,,,
44,31,46,5,82,903,9,"3,691",,,,,,,,
444,55,60,5,120,926,13,"5,522",,,,,,,,
45,76,29,2,107,797,13,"3,457",,,,,,,,
46,19,9,0,28,179,16,"1,368",,,,,,,,
461,3,7,0,10,66,15,436,,,,,,,,
47,21,42,3,66,493,13,"2,483",,,,,,,,
471,25,15,3,43,195,22,727,,,,,,,,
48,34,35,2,71,288,25,"1,283",,,,,,,,
481,66,48,6,120,497,24,"3,365",,,,,,,,
49,92,119,14,225,622,36,"2,763",,,,,,,,
50,35,72,7,114,676,17,"3,165",,,,,,,,
500,59,65,5,129,599,22,"3,237",,,,,,,,
501,41,34,0,75,365,21,"2,025",,,,,,,,
51,28,25,0,53,322,16,"2,362",,,,,,,,
511,71,51,7,129,"1,212",11,"6,275",,,,,,,,
512,1,4,0,5,5,100,34,,,,,,,,
52,50,96,28,174,"1,272",14,"6,744",,,,,,,,
521,219,198,42,459,"2,738",17,"12,871",,,,,,,,
53,145,171,17,333,"1,349",25,"6,352",,,,,,,,
54,195,50,5,250,"1,789",14,"9,131",,,,,,,,
55,193,145,20,358,"3,176",11,"15,204",,,,,,,,
551,97,87,6,190,"1,513",13,"7,652",,,,,,,,
56,43,49,0,92,329,28,"1,692",,,,,,,,
561,12,5,0,17,154,11,750,,,,,,,,
57,63,65,4,132,420,31,"2,271",,,,,,,,
58,58,86,15,159,522,30,"2,859",,,,,,,,
581,57,42,6,105,"1,064",10,"5,268",,,,,,,,
59,41,21,0,62,464,13,"2,632",,,,,,,,
591,25,6,2,33,193,17,907,,,,,,,,
60,52,32,3,87,305,29,"1,377",,,,,,,,
61,203,400,22,625,"1,078",58,"4,594",,,,,,,,
62,318,275,11,604,"3,295",18,"16,357",,,,,,,,
63,82,110,12,204,893,23,"5,056",,,,,,,,
64,79,78,3,160,805,20,"3,486",,,,,,,,
65,192,290,59,541,"2,171",25,"9,758",,,,,,,,
66,162,92,8,262,"1,242",21,"5,946",,,,,,,,
67,81,100,18,199,"1,311",15,"6,610",,,,,,,,
,,,,,,,9,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Rifle Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
68,92,42,6,140,"1,710",8,"8,907",,,,,,,,
681,41,20,2,63,981,6,"4,858",,,,,,,,
682,58,29,0,87,136,64,507,,,,,,,,
69,32,58,11,101,387,26,"2,700",,,,,,,,
691,0,21,0,21,108,19,465,,,,,,,,
70,341,420,67,828,"3,334",25,"16,388",,,,,,,,
71,237,122,6,365,"2,067",18,"9,452",,,,,,,,
711,112,130,6,248,"1,872",13,"9,418",,,,,,,,
72,37,17,3,57,434,13,"1,978",,,,,,,,
73,44,33,0,77,653,12,"3,297",,,,,,,,
74,158,91,7,256,"1,284",20,"6,103",,,,,,,,
741,35,70,10,115,502,23,"3,550",,,,,,,,
75,168,100,32,300,"1,500",20,"6,654",,,,,,,,
751,98,97,13,208,903,23,"4,073",,,,,,,,
76,142,98,6,246,811,30,"3,700",,,,,,,,
77,292,55,12,359,"2,150",17,"10,632",,,,,,,,
771,42,26,0,68,491,14,"2,321",,,,,,,,
78,236,118,4,358,"1,864",19,"8,888",,,,,,,,
79,27,39,1,67,599,11,"2,898",,,,,,,,
791,37,29,0,66,126,52,393,,,,,,,,
80,161,88,1,250,"2,140",12,"10,382",,,,,,,,
81,188,66,16,270,"2,164",12,"9,473",,,,,,,,
82,178,173,16,367,"1,516",24,"6,293",,,,,,,,
83,167,168,14,349,"1,240",28,"5,654",,,,,,,,
84,93,154,20,267,655,41,"3,784",,,,,,,,
85,262,328,23,613,"2,199",28,"11,608",,,,,,,,
851,96,109,2,207,484,43,"2,097",,,,,,,,
86,96,171,37,304,"1,529",20,"10,234",,,,,,,,
861,36,21,0,57,304,19,"1,282",,,,,,,,
87,22,8,0,30,104,29,519,,,,,,,,
88,0,0,0,0,15,0,113,,,,,,,,
95,0,0,0,0,3,0,77,,,,,,,,
96,0,0,0,0,3,0,41,,,,,,,,
97,0,3,0,3,3,100,3,,,,,,,,
98,5,0,0,5,10,50,67,,,,,,,,
99,0,0,0,0,3,0,10,,,,,,,,
100,0,0,0,0,5,0,23,,,,,,,,
102,0,0,0,0,3,0,15,,,,,,,,
103,0,0,0,0,3,0,5,,,,,,,,
104,25,41,11,77,165,47,"1,372",,,,,,,,
105,26,10,3,39,105,37,"1,052",,,,,,,,
106,0,0,0,0,5,0,141,,,,,,,,
109,0,0,0,0,5,0,23,,,,,,,,
110,14,0,3,17,67,25,867,,,,,,,,
111,0,3,0,3,18,17,109,,,,,,,,
112,0,0,0,0,3,0,39,,,,,,,,
116,0,0,0,0,3,0,13,,,,,,,,
117,0,0,0,0,5,0,62,,,,,,,,
118,0,3,0,3,8,38,44,,,,,,,,
120,0,0,0,0,3,0,15,,,,,,,,
121,0,0,0,0,5,0,113,,,,,,,,
122,0,0,0,0,3,0,18,,,,,,,,
123,8,15,0,23,51,45,465,,,,,,,,
124,3,3,0,6,39,15,244,,,,,,,,
125,0,3,0,3,23,13,110,,,,,,,,
126,0,3,0,3,23,13,283,,,,,,,,
,,,,,,,10,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Rifle Seasons",,,,,,,,,,,,,,,
Unit,Bulls,Cows,Calves,"Total
Harvest","Total
Hunters","Percent
Success","Total
Rec. Days",,,,,,,,
127,0,0,0,0,5,0,31,,,,,,,,
128,8,17,0,25,220,11,"3,129",,,,,,,,
129,0,0,0,0,5,0,21,,,,,,,,
130,3,13,3,19,60,32,385,,,,,,,,
132,0,0,0,0,10,0,26,,,,,,,,
133,3,3,0,6,47,13,352,,,,,,,,
134,0,0,0,0,12,0,47,,,,,,,,
135,0,0,0,0,52,0,222,,,,,,,,
136,27,15,3,45,116,39,853,,,,,,,,
137,11,0,0,11,38,29,222,,,,,,,,
138,0,0,0,0,13,0,76,,,,,,,,
139,0,0,3,3,16,19,61,,,,,,,,
140,51,9,0,60,190,32,714,,,,,,,,
141,11,9,0,20,44,45,207,,,,,,,,
142,8,9,0,17,76,22,426,,,,,,,,
143,19,8,0,27,77,35,399,,,,,,,,
144,10,0,0,10,68,15,287,,,,,,,,
145,3,3,0,6,24,25,150,,,,,,,,
146,5,3,0,8,64,13,537,,,,,,,,
147,19,0,0,19,63,30,340,,,,,,,,
Total,"15,259","15,170","1,684","32,113","163,598",20,"772,344",,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for All Ranching for Wildlife Seasons",,,,,,,,,,,,,,,
Unit,Bulls,Cows,Calves,"Total
Harvest","Total
Hunters","Percent
Success","Total
Rec. Days",,,,,,,,
3,124,98,4,226,323,70,686,,,,,,,,
301,53,26,3,82,175,47,457,,,,,,,,
4,59,80,8,147,216,68,474,,,,,,,,
441,189,143,16,348,496,70,"1,006",,,,,,,,
5,86,80,13,179,211,85,280,,,,,,,,
6,33,14,0,47,137,34,345,,,,,,,,
10,4,15,2,21,31,68,74,,,,,,,,
11,91,113,6,210,259,81,467,,,,,,,,
211,55,41,0,96,100,96,171,,,,,,,,
12,98,36,6,140,215,65,483,,,,,,,,
214,144,121,10,275,388,71,894,,,,,,,,
23,17,12,2,31,40,78,58,,,,,,,,
25,38,32,0,70,209,33,833,,,,,,,,
40,34,24,5,63,79,80,168,,,,,,,,
83,59,40,4,103,154,67,426,,,,,,,,
84,36,27,3,66,91,73,250,,,,,,,,
85,3,5,0,8,21,38,87,,,,,,,,
851,36,62,2,100,115,87,215,,,,,,,,
104,17,20,3,40,41,98,91,,,,,,,,
Total,"1,176",989,87,"2,252","3,301",68,"7,465",,,,,,,,
,,,,,,,11,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for Early High Country Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
1,9,0,0,9,10,90,46,,,,,,,,
2,27,0,0,27,31,87,139,,,,,,,,
201,26,0,0,26,26,100,71,,,,,,,,
10,31,0,0,31,31,100,105,,,,,,,,
61,26,0,0,26,29,90,122,,,,,,,,
76,11,0,0,11,18,61,81,,,,,,,,
Total,130,0,0,130,145,90,564,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for Late Seasons (Includes PLOs)",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
1,0,3,0,3,10,30,60,,,,,,,,
2,0,15,0,15,18,83,65,,,,,,,,
201,0,2,0,2,11,18,14,,,,,,,,
3,0,105,5,110,187,59,736,,,,,,,,
301,0,44,10,54,116,47,389,,,,,,,,
441,0,42,0,42,69,61,407,,,,,,,,
7,0,7,0,7,12,58,45,,,,,,,,
8,0,13,2,15,25,60,90,,,,,,,,
9,0,3,0,3,6,50,48,,,,,,,,
10,0,85,0,85,153,56,589,,,,,,,,
11,0,49,10,59,88,67,339,,,,,,,,
211,0,16,1,17,47,36,254,,,,,,,,
13,0,56,8,64,101,63,340,,,,,,,,
131,0,41,6,47,117,40,679,,,,,,,,
14,0,35,0,35,50,70,250,,,,,,,,
214,0,60,15,75,112,67,531,,,,,,,,
15,0,76,0,76,149,51,792,,,,,,,,
18,0,22,0,22,113,19,525,,,,,,,,
181,0,0,0,0,78,0,339,,,,,,,,
19,0,10,0,10,43,23,180,,,,,,,,
191,0,7,2,9,37,24,144,,,,,,,,
20,59,11,4,74,189,39,"1,140",,,,,,,,
22,0,29,20,49,77,64,278,,,,,,,,
23,0,20,6,26,37,70,247,,,,,,,,
24,0,0,0,0,3,0,29,,,,,,,,
26,0,21,0,21,50,42,407,,,,,,,,
27,0,0,0,0,63,0,182,,,,,,,,
28,0,33,0,33,123,27,458,,,,,,,,
30,0,24,0,24,44,55,230,,,,,,,,
31,0,76,20,96,254,38,"1,405",,,,,,,,
33,0,11,0,11,33,33,188,,,,,,,,
35,0,15,5,20,87,23,541,,,,,,,,
36,0,0,5,5,36,14,203,,,,,,,,
361,0,8,0,8,33,24,126,,,,,,,,
37,0,20,7,27,91,30,325,,,,,,,,
371,0,8,0,8,81,10,238,,,,,,,,
38,0,10,0,10,64,16,370,,,,,,,,
411,0,59,0,59,105,56,868,,,,,,,,
50,0,30,5,35,67,52,260,,,,,,,,
500,0,6,0,6,43,14,181,,,,,,,,
501,0,4,0,4,22,18,119,,,,,,,,
52,0,50,12,62,114,54,"1,402",,,,,,,,
,,,,,,,12,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for Late Seasons (Includes PLOs)",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
521,0,5,0,5,5,100,57,,,,,,,,
53,0,64,5,69,83,83,455,,,,,,,,
591,0,6,2,8,21,38,260,,,,,,,,
61,0,83,8,91,140,65,620,,,,,,,,
62,0,17,0,17,25,68,145,,,,,,,,
63,0,9,0,9,21,43,120,,,,,,,,
64,0,4,0,4,17,24,104,,,,,,,,
68,0,14,0,14,75,19,674,,,,,,,,
681,0,9,2,11,48,23,347,,,,,,,,
70,0,98,17,115,200,58,829,,,,,,,,
751,0,33,11,44,84,52,566,,,,,,,,
79,0,0,0,0,5,0,32,,,,,,,,
80,0,4,1,5,5,100,8,,,,,,,,
81,0,4,0,4,4,100,54,,,,,,,,
85,0,34,7,41,142,29,885,,,,,,,,
851,0,25,0,25,64,39,156,,,,,,,,
128,0,17,0,17,184,9,"2,811",,,,,,,,
133,0,3,0,3,27,11,257,,,,,,,,
134,0,0,0,0,3,0,3,,,,,,,,
141,0,0,0,0,3,0,46,,,,,,,,
142,0,9,0,9,21,43,179,,,,,,,,
Total,59,"1,564",196,"1,819","4,335",42,"24,621",,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for Private Land Only Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
1,0,4,0,4,4,100,49,,,,,,,,
3,17,69,0,86,209,41,938,,,,,,,,
301,6,47,0,53,119,45,517,,,,,,,,
4,27,134,0,161,345,47,"2,700",,,,,,,,
441,23,79,0,102,207,49,"1,040",,,,,,,,
5,11,25,0,36,92,39,363,,,,,,,,
6,0,20,2,22,54,41,224,,,,,,,,
7,0,11,0,11,59,19,621,,,,,,,,
8,0,11,0,11,86,13,750,,,,,,,,
9,0,16,0,16,78,21,"1,780",,,,,,,,
10,0,51,10,61,94,65,540,,,,,,,,
11,60,128,5,193,311,62,"1,025",,,,,,,,
211,17,42,0,59,161,37,661,,,,,,,,
12,32,93,11,136,278,49,"1,147",,,,,,,,
13,32,107,13,152,429,35,"2,141",,,,,,,,
131,15,90,6,111,273,41,"1,229",,,,,,,,
231,0,39,2,41,185,22,"1,051",,,,,,,,
14,0,35,0,35,50,70,250,,,,,,,,
214,10,105,15,130,242,54,"1,216",,,,,,,,
15,24,111,2,137,327,42,"1,549",,,,,,,,
16,12,47,0,59,120,49,532,,,,,,,,
161,0,8,0,8,30,27,155,,,,,,,,
17,8,23,0,31,92,34,335,,,,,,,,
171,4,28,5,37,68,54,336,,,,,,,,
18,2,11,8,21,83,25,327,,,,,,,,
181,4,6,0,10,26,38,104,,,,,,,,
19,0,21,0,21,112,19,"1,379",,,,,,,,
,,,,,,,13,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for Private Land Only Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
191,0,11,0,11,97,11,556,,,,,,,,
20,0,157,26,183,449,41,"6,702",,,,,,,,
21,16,14,0,30,59,51,216,,,,,,,,
22,13,113,0,126,289,44,"1,133",,,,,,,,
23,26,91,6,123,213,58,992,,,,,,,,
24,0,0,0,0,11,0,149,,,,,,,,
25,0,26,20,46,128,36,763,,,,,,,,
26,6,53,16,75,139,54,864,,,,,,,,
27,5,7,2,14,40,35,155,,,,,,,,
28,23,12,0,35,197,18,840,,,,,,,,
29,0,25,4,29,75,39,611,,,,,,,,
30,0,0,0,0,8,0,24,,,,,,,,
31,6,25,2,33,101,33,481,,,,,,,,
32,13,27,19,59,69,86,145,,,,,,,,
33,2,20,0,22,59,37,295,,,,,,,,
34,0,19,3,22,43,51,251,,,,,,,,
35,11,20,0,31,63,49,261,,,,,,,,
36,2,9,0,11,19,58,100,,,,,,,,
361,2,7,0,9,29,31,136,,,,,,,,
37,3,16,8,27,57,47,178,,,,,,,,
371,0,0,0,0,19,0,86,,,,,,,,
38,0,28,0,28,152,18,"3,072",,,,,,,,
39,0,46,5,51,116,44,"1,395",,,,,,,,
391,0,56,7,63,151,42,"1,898",,,,,,,,
40,0,115,3,118,236,50,"1,500",,,,,,,,
41,29,85,11,125,268,47,"2,741",,,,,,,,
411,4,59,0,63,121,52,950,,,,,,,,
42,40,18,7,65,168,39,632,,,,,,,,
421,18,139,13,170,446,38,"3,247",,,,,,,,
43,6,49,5,60,123,49,625,,,,,,,,
44,4,19,5,28,65,43,387,,,,,,,,
444,5,37,5,47,132,36,"1,688",,,,,,,,
45,0,7,0,7,21,33,147,,,,,,,,
46,0,7,0,7,37,19,727,,,,,,,,
461,0,7,0,7,25,28,264,,,,,,,,
47,0,20,0,20,33,61,330,,,,,,,,
471,0,0,0,0,5,0,49,,,,,,,,
48,0,0,0,0,2,0,11,,,,,,,,
481,0,28,6,34,78,44,"1,398",,,,,,,,
50,0,2,2,4,30,13,261,,,,,,,,
500,0,9,0,9,18,50,401,,,,,,,,
501,0,11,0,11,20,55,388,,,,,,,,
51,0,15,0,15,109,14,"1,446",,,,,,,,
511,2,34,7,43,115,37,"1,348",,,,,,,,
52,3,50,12,65,135,48,"1,475",,,,,,,,
521,7,19,0,26,75,35,335,,,,,,,,
53,11,80,5,96,177,54,792,,,,,,,,
54,3,22,5,30,85,35,532,,,,,,,,
56,0,24,0,24,45,53,336,,,,,,,,
57,0,20,0,20,95,21,986,,,,,,,,
58,0,29,7,36,127,28,"1,381",,,,,,,,
581,11,22,6,39,88,44,"1,002",,,,,,,,
59,3,16,0,19,119,16,"1,428",,,,,,,,
60,0,18,3,21,45,47,201,,,,,,,,
61,0,60,7,67,99,68,485,,,,,,,,
62,32,89,3,124,307,40,"1,322",,,,,,,,
,,,,,,,14,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for Private Land Only Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
63,9,67,0,76,182,42,"1,567",,,,,,,,
64,40,36,3,79,163,48,739,,,,,,,,
65,30,169,21,220,455,48,"2,166",,,,,,,,
68,0,0,4,4,15,27,154,,,,,,,,
682,35,29,0,64,103,62,132,,,,,,,,
69,0,50,11,61,120,51,"1,553",,,,,,,,
691,0,18,0,18,41,44,152,,,,,,,,
70,65,262,37,364,778,47,"3,490",,,,,,,,
71,20,12,3,35,67,52,234,,,,,,,,
711,2,24,4,30,88,34,741,,,,,,,,
72,2,0,0,2,48,4,301,,,,,,,,
73,2,12,0,14,48,29,602,,,,,,,,
74,3,33,0,36,64,56,520,,,,,,,,
741,2,67,8,77,279,28,"2,466",,,,,,,,
75,0,26,16,42,132,32,872,,,,,,,,
751,0,33,11,44,96,46,616,,,,,,,,
77,19,2,0,21,56,38,249,,,,,,,,
771,0,0,0,0,12,0,60,,,,,,,,
78,15,17,0,32,53,60,217,,,,,,,,
79,0,8,1,9,19,47,79,,,,,,,,
791,32,29,0,61,101,60,130,,,,,,,,
80,0,16,0,16,28,57,548,,,,,,,,
81,0,10,0,10,47,21,146,,,,,,,,
82,34,14,0,48,53,91,182,,,,,,,,
83,28,62,10,100,264,38,"1,214",,,,,,,,
84,0,86,11,97,227,43,"2,225",,,,,,,,
85,52,200,15,267,676,39,"4,459",,,,,,,,
851,10,35,0,45,121,37,757,,,,,,,,
86,13,102,37,152,415,37,"5,377",,,,,,,,
861,0,0,0,0,22,0,165,,,,,,,,
104,0,21,8,29,84,35,"1,141",,,,,,,,
105,0,0,0,0,8,0,80,,,,,,,,
110,0,0,0,0,4,0,42,,,,,,,,
140,23,9,0,32,66,48,278,,,,,,,,
Total,"1,046","4,702",509,"6,257","15,101",41,"106,731",,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for First Rifle Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
1,0,2,0,2,8,25,36,,,,,,,,
2,0,9,2,11,28,39,83,,,,,,,,
201,0,18,1,19,31,61,83,,,,,,,,
3,100,37,0,137,296,46,893,,,,,,,,
301,24,0,0,24,101,24,408,,,,,,,,
4,200,158,8,366,893,41,"2,685",,,,,,,,
441,96,23,0,119,261,46,762,,,,,,,,
5,102,42,8,152,411,37,"1,494",,,,,,,,
6,50,112,4,166,748,22,"2,380",,,,,,,,
7,21,0,0,21,167,13,600,,,,,,,,
8,25,0,0,25,122,20,358,,,,,,,,
9,3,0,0,3,11,27,41,,,,,,,,
10,0,35,7,42,53,79,131,,,,,,,,
11,285,170,9,464,"1,295",36,"4,744",,,,,,,,
,,,,,,,15,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for First Rifle Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
211,53,33,0,86,265,32,943,,,,,,,,
12,357,134,18,509,"1,518",34,"5,383",,,,,,,,
13,86,30,0,116,355,33,"1,256",,,,,,,,
131,15,26,0,41,131,31,404,,,,,,,,
231,36,18,0,54,409,13,"1,568",,,,,,,,
14,45,15,5,65,201,32,781,,,,,,,,
214,19,19,0,38,145,26,438,,,,,,,,
15,43,34,3,80,451,18,"1,738",,,,,,,,
16,22,24,10,56,254,22,886,,,,,,,,
161,5,25,4,34,272,13,878,,,,,,,,
17,18,68,0,86,322,27,"1,103",,,,,,,,
171,4,14,0,18,299,6,941,,,,,,,,
18,54,105,0,159,"1,037",15,"3,629",,,,,,,,
181,24,4,0,28,193,15,560,,,,,,,,
19,18,0,0,18,97,19,398,,,,,,,,
191,9,0,0,9,35,26,132,,,,,,,,
20,13,0,0,13,19,68,67,,,,,,,,
21,78,20,4,102,375,27,"1,300",,,,,,,,
22,51,6,0,57,239,24,885,,,,,,,,
23,171,60,9,240,913,26,"3,409",,,,,,,,
24,90,107,0,197,963,20,"3,464",,,,,,,,
25,46,18,0,64,218,29,771,,,,,,,,
26,33,9,6,48,218,22,711,,,,,,,,
27,15,24,5,44,180,24,613,,,,,,,,
28,47,36,11,94,651,14,"2,434",,,,,,,,
29,2,0,0,2,18,11,60,,,,,,,,
30,0,0,0,0,60,0,154,,,,,,,,
31,70,0,6,76,160,48,542,,,,,,,,
32,39,3,3,45,88,51,277,,,,,,,,
33,37,18,0,55,545,10,"2,057",,,,,,,,
34,18,18,0,36,191,19,625,,,,,,,,
35,25,10,5,40,214,19,793,,,,,,,,
36,19,8,0,27,148,18,525,,,,,,,,
361,2,6,0,8,36,22,96,,,,,,,,
37,3,26,6,35,205,17,679,,,,,,,,
371,27,17,8,52,244,21,897,,,,,,,,
38,10,3,0,13,63,21,205,,,,,,,,
39,16,6,2,24,72,33,260,,,,,,,,
391,1,0,0,1,12,8,48,,,,,,,,
40,24,12,3,39,63,62,205,,,,,,,,
41,55,36,0,91,518,18,"2,020",,,,,,,,
411,31,0,0,31,104,30,416,,,,,,,,
42,30,26,15,71,414,17,"1,565",,,,,,,,
421,80,36,0,116,493,24,"1,818",,,,,,,,
43,51,11,0,62,230,27,781,,,,,,,,
44,16,12,0,28,166,17,573,,,,,,,,
444,8,5,0,13,75,17,242,,,,,,,,
45,10,16,0,26,90,29,306,,,,,,,,
46,6,0,0,6,35,17,130,,,,,,,,
461,0,0,0,0,11,0,37,,,,,,,,
47,3,3,1,7,60,12,165,,,,,,,,
471,3,3,0,6,27,22,68,,,,,,,,
48,18,0,0,18,64,28,220,,,,,,,,
481,29,0,0,29,63,46,198,,,,,,,,
49,42,0,0,42,75,56,250,,,,,,,,
50,6,0,0,6,42,14,146,,,,,,,,
,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for First Rifle Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
500,33,0,0,33,97,34,385,,,,,,,,
501,9,0,0,9,34,26,116,,,,,,,,
51,11,3,0,14,52,27,161,,,,,,,,
511,17,3,0,20,109,18,368,,,,,,,,
52,0,11,9,20,140,14,466,,,,,,,,
521,103,56,18,177,558,32,"2,083",,,,,,,,
53,51,43,8,102,395,26,"1,555",,,,,,,,
54,42,9,0,51,423,12,"1,776",,,,,,,,
55,41,55,8,104,565,18,"2,257",,,,,,,,
551,17,18,0,35,173,20,674,,,,,,,,
56,6,0,0,6,43,14,170,,,,,,,,
561,5,0,0,5,27,19,114,,,,,,,,
57,18,7,0,25,71,35,244,,,,,,,,
58,16,8,4,28,86,33,308,,,,,,,,
581,14,10,0,24,105,23,363,,,,,,,,
59,5,9,0,14,93,15,289,,,,,,,,
60,15,4,0,19,48,40,181,,,,,,,,
61,95,34,3,132,178,74,589,,,,,,,,
62,101,33,3,137,412,33,"1,601",,,,,,,,
63,16,29,3,48,151,32,561,,,,,,,,
64,53,16,3,72,212,34,737,,,,,,,,
65,70,36,18,124,471,26,"1,711",,,,,,,,
66,77,18,3,98,388,25,"1,560",,,,,,,,
67,44,24,0,68,366,19,"1,519",,,,,,,,
68,42,0,0,42,266,16,"1,075",,,,,,,,
681,12,0,0,12,99,12,374,,,,,,,,
69,12,0,0,12,26,46,62,,,,,,,,
691,0,0,0,0,2,0,8,,,,,,,,
70,154,60,9,223,518,43,"1,977",,,,,,,,
71,79,62,0,141,524,27,"1,982",,,,,,,,
711,23,32,0,55,222,25,753,,,,,,,,
72,13,0,0,13,48,27,222,,,,,,,,
73,23,11,0,34,137,25,493,,,,,,,,
74,69,31,7,107,297,36,"1,110",,,,,,,,
741,9,2,0,11,32,34,130,,,,,,,,
75,48,14,13,75,420,18,"1,651",,,,,,,,
751,42,29,0,71,205,35,633,,,,,,,,
76,94,0,0,94,186,51,665,,,,,,,,
77,85,27,7,119,365,33,"1,379",,,,,,,,
771,0,19,0,19,43,44,129,,,,,,,,
78,54,82,0,136,344,40,"1,230",,,,,,,,
79,7,4,0,11,171,6,698,,,,,,,,
80,30,0,0,30,425,7,"1,668",,,,,,,,
81,57,0,0,57,368,15,"1,287",,,,,,,,
82,27,29,8,64,255,25,942,,,,,,,,
83,16,8,0,24,64,38,226,,,,,,,,
84,14,0,0,14,44,32,122,,,,,,,,
85,64,15,7,86,253,34,965,,,,,,,,
851,13,0,0,13,45,29,140,,,,,,,,
86,26,6,0,32,119,27,408,,,,,,,,
861,7,5,0,12,51,24,162,,,,,,,,
104,6,0,0,6,18,33,68,,,,,,,,
140,26,0,0,26,44,59,184,,,,,,,,
Total,"4,850","2,572",294,"7,716","29,559",26,"106,279",,,,,,,,
,,,,,,,17,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for Second Rifle Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
1,0,3,0,3,20,15,108,,,,,,,,
2,0,10,0,10,21,48,95,,,,,,,,
201,0,18,4,22,52,42,240,,,,,,,,
3,40,25,2,67,447,15,"1,733",,,,,,,,
301,28,15,2,45,313,14,"1,187",,,,,,,,
4,165,49,0,214,"1,371",16,"6,573",,,,,,,,
441,54,21,0,75,481,16,"2,392",,,,,,,,
5,111,10,2,123,542,23,"2,584",,,,,,,,
6,57,42,19,118,"1,030",11,"4,398",,,,,,,,
7,76,17,0,93,504,18,"2,263",,,,,,,,
8,39,11,0,50,509,10,"2,198",,,,,,,,
9,10,0,0,10,20,50,75,,,,,,,,
10,0,23,4,27,62,44,306,,,,,,,,
11,50,29,7,86,653,13,"3,323",,,,,,,,
211,95,41,4,140,521,27,"2,550",,,,,,,,
12,130,88,11,229,"1,390",16,"6,861",,,,,,,,
13,66,55,9,130,446,29,"1,889",,,,,,,,
131,18,25,2,45,273,16,"1,144",,,,,,,,
231,18,24,0,42,422,10,"2,204",,,,,,,,
14,47,15,0,62,666,9,"3,228",,,,,,,,
214,65,59,3,127,594,21,"2,484",,,,,,,,
15,75,47,0,122,"1,294",9,"6,814",,,,,,,,
16,40,19,0,59,437,14,"1,916",,,,,,,,
161,29,27,9,65,343,19,"1,764",,,,,,,,
17,35,26,0,61,527,12,"2,373",,,,,,,,
